"date","m0","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18","m19","m20","m21","m22","m23","m24","m25","m26","m27","m28","m29","m30","m31","m32","m33","m34","m35","m36","m37","m38","m39","m40","m41","m42","m43","m44","m45","m46","m47","m48","m49","m50"
2015-08-07 10:00:00,22.15,22.0830769230769,21.8803448275862,21.6737037037037,20.0054545454545,18.7796296296296,17.9631818181818,17.5963265306122,17.1871428571429,16.6594444444444,15.7234285714286,14.1766666666667,12.2756097560976,11.4350847457627,10.3922727272727,8.90583333333333,8.12348837209302,7.51642857142857,7.17159090909091,6.80153846153846,6.49962962962963,6.21272727272727,6.09909090909091,5.96714285714286,5.87318181818182,5.79,5.72739130434783,5.67935483870968,5.6171875,5.58439024390244,5.54631578947368,5.505,5.46448275862069,5.42272727272727,5.39,5.36594594594595,5.31055555555556,5.27,5.26,5.25347826086957,5.2335,5.22288461538461,5.20061224489796,5.18659090909091,5.17121951219512,5.15720930232558,5.13634146341463,5.11489361702128,5.09102564102564,5.05783783783784,5.03175
2015-08-13 13:00:00,22.97,22.7704347826087,21.94,21.2639473684211,20.5454838709677,19.4111111111111,18.2954545454545,17.6611764705882,17.1871428571429,16.4642857142857,15.9,14.94,13.3752380952381,11.0392105263158,9.67634146341463,8.09209302325581,7.56847826086956,7.04842105263158,6.56,6.27428571428571,6.10785714285714,5.925,5.85918918918919,5.80952380952381,5.73034482758621,5.68433333333333,5.62928571428571,5.57,5.53611111111111,5.50945945945946,5.48289473684211,5.44608695652174,5.39684210526316,5.34826923076923,5.33489361702128,5.31309523809524,5.28042553191489,5.25,5.23962264150943,5.21,5.20111111111111,5.18021739130435,5.1753488372093,5.16,5.15,5.12673913043478,5.11,5.10375,5.08462962962963,5.06754716981132,5.04766666666667
2015-08-19 09:00:00,15.8,21.0144444444444,21.0418181818182,21.05,21.04,21.01,19.685,17.9320689655172,17.2485,16.7659259259259,16.2897727272727,15.505,13.6471428571429,12.3962068965517,10.9213043478261,9.54,8.52967741935484,7.42129032258064,6.81714285714286,6.51448275862069,6.32578947368421,6.19257142857143,6.04235294117647,5.946875,5.88444444444444,5.80234042553191,5.75333333333333,5.71022727272727,5.65153846153846,5.60222222222222,5.54314285714286,5.46545454545455,5.41909090909091,5.37272727272727,5.34652173913043,5.31454545454545,5.27971428571429,5.26,5.24,5.22787878787879,5.20148148148148,5.2,5.19,5.1898,5.16,5.15,5.13677419354839,5.10590909090909,5.1,5.06553571428571,5.05
2015-08-26 08:00:00,19.38,19.38,19.38,19.38,19.38,19.38,19.38,19.37,19.364347826087,17.9488235294118,15.1391666666667,13.7816666666667,12.608125,11.2572727272727,9.98,8.77733333333333,7.99619047619048,7.32666666666667,6.645,6.39307692307692,6.23727272727273,6.10818181818182,6.01,5.93625,5.85157894736842,5.78135135135135,5.7321052631579,5.70222222222222,5.65166666666667,5.6,5.565625,5.54391304347826,5.50388888888889,5.44142857142857,5.40454545454546,5.39074074074074,5.37,5.35,5.34,5.31222222222222,5.29642857142857,5.2812,5.25625,5.22761904761905,5.19090909090909,5.17,5.15,5.13,5.12909090909091,5.11,5.1
2015-09-02 12:00:00,20.77,20.77,20.7518181818182,20.6312765957447,20.57,20.5560317460317,20.5136507936508,20.4780327868852,20.4158823529412,19.5339622641509,17.6275,16.2906153846154,15.0960377358491,13.1769230769231,9.97972222222222,9.39,8.62746031746032,7.998,7.4811320754717,7.10870967741935,6.72074074074074,6.41441860465116,6.24425,6.13186440677966,5.99883720930233,5.9286,5.87411764705882,5.80086956521739,5.75877192982456,5.70022727272727,5.64573770491803,5.59590163934426,5.52542857142857,5.48833333333333,5.4485,5.40313725490196,5.38264150943396,5.351,5.34,5.32547169811321,5.30054054054054,5.29,5.27431818181818,5.25232558139535,5.23808510638298,5.21852459016393,5.19117647058824,5.17854166666667,5.15769230769231,5.13558823529412,5.11157894736842
2015-09-11 08:00:00,17.02,17.02,17.01,17.01,17.01,17.01,17.01,17,16.97125,16.8385714285714,16.2252631578947,15.2208333333333,14.1951612903226,13.0672222222222,11.53,10.10625,8.95413793103448,7.98333333333333,7.275,6.7925,6.48230769230769,6.31527777777778,6.18387096774194,6.11444444444444,6.06142857142857,5.99733333333333,5.93333333333333,5.87769230769231,5.82838709677419,5.78125,5.72055555555556,5.65875,5.59513513513514,5.55058823529412,5.50538461538462,5.44611111111111,5.42878787878788,5.41,5.39789473684211,5.38,5.36148148148148,5.32916666666667,5.30458333333333,5.29,5.27,5.27,5.25,5.24,5.222,5.2,5.19
2015-09-18 08:00:00,16.3,16.31,16.31,16.3161111111111,16.31,16.3129411764706,16.31,16.31,16.31,16.31,16.31,16.31,16.31,15.1525,10.81125,9.4635,8.46117647058824,7.75,7.1745,6.68823529411765,6.45,6.33153846153846,6.16058823529412,6.05692307692308,5.97235294117647,5.88545454545455,5.8,5.73733333333333,5.69,5.65173913043478,5.62,5.59263157894737,5.54588235294118,5.51,5.47210526315789,5.44714285714286,5.43,5.41,5.387,5.37,5.36,5.34,5.3204347826087,5.3,5.29,5.274,5.25,5.23157894736842,5.19,5.18,5.17
2015-09-23 08:00:00,15.73,15.7132727272727,15.72,15.742,15.76,15.76,15.74,15.76,15.76,15.76,15.76,15.76,15.76,15.7283333333333,13.96,10.54,9.64434782608696,8.60666666666667,7.64571428571429,6.91090909090909,6.70454545454545,6.504,6.35666666666667,6.20205128205128,6.13454545454545,6.06177777777778,5.9824,5.895,5.82289473684211,5.7558064516129,5.68611111111111,5.631,5.58421052631579,5.54829268292683,5.5131914893617,5.48,5.45294117647059,5.42,5.41055555555556,5.39172413793103,5.38,5.35971428571429,5.33,5.31282608695652,5.31,5.29,5.28620689655172,5.27,5.25,5.23,5.22
2015-09-30 10:00:00,14.64,14.6496153846154,14.6512962962963,14.6384848484848,14.62,14.61,14.61,14.61,14.605,14.6,14.6,14.6,14.5946808510638,14.59,14.4204347826087,12.2325,10.0503773584906,8.6763829787234,7.80882352941176,7.39130434782609,6.91368421052632,6.65,6.445,6.315,6.2115625,6.10138888888889,5.99594594594595,5.90822222222222,5.83076923076923,5.78771428571429,5.74421052631579,5.71106382978723,5.6709756097561,5.624,5.58775510204082,5.5528813559322,5.51833333333333,5.49,5.4784,5.45884615384615,5.44,5.4288,5.39657142857143,5.373,5.35,5.3376,5.32627450980392,5.31557692307692,5.30439024390244,5.28,5.27
2015-10-09 08:00:00,14.55,14.49,14.45,14.4475,14.4407692307692,14.44,14.43,14.33,14.1590909090909,14.09,14.0576470588235,14.0290476190476,13.9921052631579,13.8483333333333,13.3792307692308,12.17,10.9031034482759,9.20941176470588,8.43411764705882,7.77444444444444,7.146,6.8240625,6.51727272727273,6.3475,6.18625,6.07,6.0275,5.97,5.91846153846154,5.87785714285714,5.82,5.8,5.75,5.72,5.656875,5.61,5.57529411764706,5.55,5.53,5.5,5.48,5.46851851851852,5.45,5.42,5.40137931034483,5.39,5.38,5.37,5.34,5.33,5.31
