184.727	-11.938	1.937	3.303	232.09
6.879	-12.828	2.083	2.639	235.813
0	-13.719	2.135	2.303	239.536
0	-14.61	1.985	2.303	243.259
0	-15.5	1.844	3.925	246.981
0	-12.016	2.451	3.925	248.573
0	-8.533	2.817	3.925	250.164
78.384	-5.049	2.964	4.277	251.755
105.686	-1.565	3.11	4.925	253.346
5.014	-2.819	3.257	4.273	254.937
0	-4.073	3.404	3.925	256.528
0	-5.327	3.551	3.925	258.119
0	-6.581	3.698	3.06	259.711
0	-5.708	3.572	3.06	256.48
0	-4.834	3.447	3.06	253.249
54.015	-3.96	3.321	3.421	250.018
72.385	-3.087	3.196	4.06	246.787
4.193	-4.474	3.071	3.418	243.556
0	-5.86	2.945	3.06	240.326
0	-7.247	2.82	3.06	237.095
0	-8.634	2.695	3.802	233.864
0	-7.379	2.706	3.802	233.043
0	-6.124	2.718	3.802	232.221
152.339	-4.87	2.73	4.173	231.4
202.913	-3.615	2.741	4.802	230.579
13.917	-4.533	2.753	4.17	229.757
0	-5.45	2.765	3.802	228.936
0	-6.368	2.777	3.802	228.114
0	-7.285	2.788	4.297	227.293
0	-6.117	2.758	4.297	227.092
0	-4.948	2.728	4.297	226.891
164.488	-3.78	2.698	4.677	226.69
217.778	-2.611	2.668	5.297	226.489
17.285	-4.044	2.637	4.675	226.289
0	-5.477	2.607	4.297	226.088
0	-6.91	2.577	4.297	225.887
0	-8.343	2.547	3.58	225.686
0	-7.319	2.59	3.58	226.433
0	-6.294	2.633	3.58	227.179
167.301	-5.27	2.676	3.97	227.926
220.181	-4.245	2.719	4.58	228.672
19.866	-5.425	2.762	3.968	229.419
0	-6.604	2.804	3.58	230.166
0	-7.784	2.847	3.58	230.912
0	-8.964	2.89	3.255	231.659
0	-7.534	2.734	3.255	230.636
0	-6.105	2.578	3.255	229.613
166.961	-4.676	2.421	3.654	228.59
218.436	-3.246	2.265	4.255	227.567
22.086	-7.197	2.108	3.652	226.544
0	-11.148	1.952	3.255	225.521
0	-15.099	1.796	3.255	224.498
0	-19.05	1.368	4.597	223.475
0	-16.242	1.556	4.597	220.689
0	-13.433	1.472	4.597	217.903
146.677	-10.625	1.389	5.005	215.117
190.777	-7.816	1.306	5.597	212.331
21.364	-10.935	1.222	5.003	209.545
0	-14.054	1.139	4.597	206.758
0	-17.173	1.055	4.597	203.972
0	-20.292	0.972	4.16	201.186
0	-19.159	0.987	4.16	201.57
0	-18.026	1.003	4.16	201.953
165.745	-16.892	1.019	4.578	202.337
214.331	-15.759	1.034	5.16	202.72
26.324	-17.13	1.05	4.575	203.104
0	-18.5	1.065	4.16	203.487
0	-19.871	1.081	4.16	203.871
0	-21.242	1.097	2.091	204.254
0	-19.205	1.145	2.091	205.155
0	-17.167	1.192	2.091	206.057
177.324	-15.13	1.24	2.518	206.958
227.993	-13.092	1.288	3.091	207.859
30.46	-14.264	1.336	2.515	208.76
0	-15.435	1.384	2.091	209.662
0	-16.607	1.432	2.091	210.563
0	-17.778	1.48	2.054	211.464
0	-15.437	1.541	2.054	211.508
0	-13.096	1.602	2.054	211.553
174.365	-10.755	1.663	2.49	211.597
222.922	-8.414	1.724	3.054	211.641
32.167	-9.728	1.785	2.487	211.686
0	-11.041	1.846	2.054	211.73
0	-12.354	1.907	2.054	211.774
0	-13.668	1.968	2.008	211.819
0	-11.815	2.111	2.008	215.557
0	-9.961	2.255	2.008	219.295
200.289	-8.108	2.398	2.453	223.033
254.638	-6.255	2.541	3.008	226.771
39.444	-6.845	2.684	2.45	230.509
0	-7.435	2.827	2.008	234.247
0	-8.025	2.971	2.008	237.985
0	-8.615	3.114	3.605	241.723
0	-7.04	3.216	3.605	245.658
0	-5.464	3.318	3.605	249.593
165.356	-3.888	3.419	4.059	253.529
209.07	-2.312	3.521	4.605	257.464
34.58	-2.692	3.623	4.055	261.399
0	-3.072	3.725	3.605	265.334
0	-3.452	3.827	3.605	269.27
0	-3.832	3.929	3.743	273.205
0	-3.185	4.017	3.743	273.798
0	-2.537	4.104	3.743	274.392
69.922	-1.889	4.192	4.205	274.985
87.927	-1.241	4.279	4.743	275.578
15.455	-1.512	4.367	4.2	276.172
0	-1.784	4.455	3.743	276.765
0	-2.055	4.542	3.743	277.359
0	-2.326	4.63	3.011	277.952
0	-1.612	4.575	3.011	276.875
0	-0.897	4.52	3.011	275.797
105.415	-0.182	4.466	3.483	274.719
131.85	0.533	4.411	4.011	273.642
24.527	-0.769	4.356	3.477	272.564
0	-2.07	4.302	3.011	271.487
0	-3.372	4.247	3.011	270.409
0	-4.673	4.192	2.467	269.331
0	-3.771	4.168	2.467	268.581
0	-2.869	4.143	2.467	267.831
